[0] 8 (BeginString) = FIX4.4, [1] 9 (BodyLength) = 0012220
[2] 35 (MsgType) = R[QUOTE_REQUEST], [3] 49 (SenderCompID) = sender-10
[4] 56 (TargetCompID) = target-20, [5] 34 (MsgSeqNum) = 1
[6] 57 (TargetSubID) = sub-a, [7] 52 (SendingTime) = 20180528-16:12:33.445
[8] 131 (QuoteReqID) = ipsum, [9] 644 (RFQReqID) = sit
[10] 11 (ClOrdID) = consectetur, [11] 528 (OrderCapacity) = I[INDIVIDUAL]
[12] 146 (NoRelatedSym) = 3, [13] 55 (Symbol) = elit.
[14] 65 (SymbolSfx) = odio, [15] 48 (SecurityID) = blandit
[16] 22 (SecurityIDSource) = 4[ISIN_NUMBER], [17] 454 (NoSecurityAltID) = 2
[18] 455 (SecurityAltID) = semper, [19] 456 (SecurityAltIDSource) = bibendum
[20] 455 (SecurityAltID) = lectus., [21] 456 (SecurityAltIDSource) = vel
[22] 460 (Product) = 8[LOAN], [23] 461 (CFICode) = magna.
[24] 167 (SecurityType) = BRADY[BRADY_BOND], [25] 762 (SecuritySubType) = et
[26] 200 (MaturityMonthYear) = leo,, [27] 541 (MaturityDate) = 20180528-15:05:55.850
[28] 201 (PutOrCall) = [undefined], [29] 224 (CouponPaymentDate) = 20180528-15:05:55.850
[30] 225 (IssueDate) = 20180528-15:05:55.850, [31] 239 (RepoCollateralSecurityType) = iaculis
[32] 226 (RepurchaseTerm) = 68308, [33] 227 (RepurchaseRate) = 64618
[34] 228 (Factor) = 75474, [35] 255 (CreditRating) = Nullam
[36] 543 (InstrRegistry) = lectus,, [37] 470 (CountryOfIssue) = eget
[38] 471 (StateOrProvinceOfIssue) = vitae,, [39] 472 (LocaleOfIssue) = ac
[40] 240 (RedemptionDate) = 20180528-15:05:55.850, [41] 202 (StrikePrice) = 54270
[42] 947 (StrikeCurrency) = 5481, [43] 206 (OptAttribute) = Quisque
[44] 231 (ContractMultiplier) = 17954, [45] 223 (CouponRate) = 42198
[46] 207 (SecurityExchange) = tincidunt, [47] 106 (Issuer) = Class
[48] 348 (EncodedIssuerLen) = 20, [49] 349 (EncodedIssuer) = kRCE2p8nYUZ4lr08McUR
[50] 107 (SecurityDesc) = taciti, [51] 350 (EncodedSecurityDescLen) = 20
[52] 351 (EncodedSecurityDesc) = 803rCYAHkF45eQamZjU8, [53] 691 (Pool) = ad
[54] 667 (ContractSettlMonth) = torquent, [55] 875 (CPProgram) = 99[OTHER]
[56] 876 (CPRegType) = conubia, [57] 864 (NoEvents) = 2
[58] 865 (EventType) = 99[OTHER], [59] 866 (EventDate) = 20180528-15:05:55.851
[60] 867 (EventPx) = 41188, [61] 868 (EventText) = per
[62] 865 (EventType) = 3[TENDER], [63] 866 (EventDate) = 20180528-15:05:55.851
[64] 867 (EventPx) = 61269, [65] 868 (EventText) = himenaeos.
[66] 873 (DatedDate) = 20180528-15:05:55.851, [67] 874 (InterestAccrualDate) = 20180528-15:05:55.851
[68] 913 (AgreementDesc) = eu, [69] 914 (AgreementID) = risus,
[70] 915 (AgreementDate) = 20180528-15:05:55.851, [71] 918 (AgreementCurrency) = 16961
[72] 788 (TerminationType) = 3[FLEXIBLE], [73] 916 (StartDate) = 20180528-15:05:55.851
[74] 917 (EndDate) = 20180528-15:05:55.851, [75] 919 (DeliveryType) = 2[TRI_PARTY]
[76] 898 (MarginRatio) = 61662, [77] 711 (NoUnderlyings) = 3
[78] 311 (UnderlyingSymbol) = tincidunt, [79] 312 (UnderlyingSymbolSfx) = Morbi
[80] 309 (UnderlyingSecurityID) = mi,, [81] 305 (UnderlyingSecurityIDSource) = vel
[82] 457 (NoUnderlyingSecurityAltID) = 1, [83] 458 (UnderlyingSecurityAltID) = ac,
[84] 459 (UnderlyingSecurityAltIDSource) = non, [85] 462 (UnderlyingProduct) = 91742
[86] 463 (UnderlyingCFICode) = Pellentesque, [87] 310 (UnderlyingSecurityType) = lorem
[88] 763 (UnderlyingSecuritySubType) = consequat, [89] 313 (UnderlyingMaturityMonthYear) = sapien
[90] 542 (UnderlyingMaturityDate) = 20180528-15:05:55.851, [91] 315 (UnderlyingPutOrCall) = 20865
[92] 241 (UnderlyingCouponPaymentDate) = 20180528-15:05:55.851, [93] 242 (UnderlyingIssueDate) = 20180528-15:05:55.851
[94] 243 (UnderlyingRepoCollateralSecurityType) = tempor, [95] 244 (UnderlyingRepurchaseTerm) = 32582
[96] 245 (UnderlyingRepurchaseRate) = 43269, [97] 246 (UnderlyingFactor) = 44048
[98] 256 (UnderlyingCreditRating) = a, [99] 595 (UnderlyingInstrRegistry) = purus
[100] 592 (UnderlyingCountryOfIssue) = ut, [101] 593 (UnderlyingStateOrProvinceOfIssue) = Proin
